,Commment,Category
5,"si el cliente está necio que quiere un JAC , prefiero dejarlo que se vaya a otra arrendadora . ",0
9,. 1:46 ,0
12,🤣🤣🤣 . ,0
18,... seguro el Leon FR o el Golf Tsi 1.4T le dan la vuelta con menos caballos ... . . ,0
23,11:46:00,0
29,"! y por eso acabo de apartar el Forte GT en este en ese color ocaso con tonos naranja oscuro que se ve tan sexy . 😍🥰 Aunque tiene apeido gt , se que es el del entrada pero realmente lo comparo con el mazda 3 , creo que es mejor ponerlo contra un civic o un mazda 3 que contra un gti o un cupra que ya le quedan muy lejos en precio y caballos y torque ... . osea el forte cuesta 427 y el mazda 410 y hasta se parecen mucho en diseño exterior , la neta una comparación entre mazda y este seria super cool y se que este gana y por eso lo compre . ",0
34,"me indican en agencia que es normal pero que no saben el porque de ese ruido , una pena para este auto , espero que en la agencia me solucionen . ",0
45,", mido 183 , y es imposible ponerse comodo . y sin ningun tipo de aminidad , fuera de ahi , excelente . ",0
65,"! ! 1 . Precio de compra demasiado elevado , tres veces el precio de uno de gasolina equivalente . 2 . Autonomía , el promedio de los eléctricos 250 km , el promedio de los de gasolina 600 km . 3 . Hay 14 mil gasolineras en todo el país . Solo 900 estaciones de carga , que si las dividimos entre 3 , que son las que regularmente hay en cada punto , en realidad solo son 300 sitios donde cargar , con 3 estaciones cada uno . 4 . 5 minutos para llenar tu tanque de gasolina al 100 % , y además puedes cargar bidones en caso de emergencia . Para cargar un eléctrico , una hora en promedio , en estaciones de carga , y a ver como puta madre podrías llevar baterías de emergencia . No se puede . 5 . Cuando se puteen la baterías del eléctrico , a cagar sangre , porque su sustitución costará el 20 % del valor del auto nuevo . Un pinche ajuste de motor te sale en 20 mil . ",0
67,"No es malo pero para lo que es es casisimo Con eso te compras cosas mucho mejores . Cambiando intro , felicidades ! ! . ",0
72,"😡 , mejor un spark cvt con 4 airbags y ESP , un Ibiza , Swift boosterjet etc etc etc . ",0
75,🖖🏼😎 . ,0
90, Esta vez si me saco la 😂😂😂😂 don Sergio Porque ,0
94," soy vagueto . Aún así , me gusta mucho más el Mazda 2 o el Kia Río . ",0
99,? ? ? En El Salvador ? 🤪 . ,0
101,"el botón de intermitentes esta del lado del copiloto que chafa diseño tiene no me gusto mejor kia o honda hay mejores . Sí es un muy buen auto , sobre todo en el equipamiento interior así como en su consumo de combustible . Pero ",0
104,el Master Oliveira . En lo personal amo la marca VW y ,0
108,o tus rimas jajajaja . ,0
129,"por 749,200 te compras una lobo doble cabina 4x4 y todavía te sobra pa la gas de unos 3 meses ? ? . ",0
130,", vw esta sobrevalorando los precios de sus vehiculos . ",0
158," malos materiales mala ergonomía y espacios , diseño viejo y más caro que los Alemania . Este auto solo solo es para farolear la marca . Tal vez si llegara el VW UP gti sería su competencia , pero ",0
182,. Pues no es la gran cosa se parece al Yaris del toyota tipo boludo pero ,0
185,y eso de que será grata el equipo de seguridad está por verse no dudo que tenga 6 bolsas y el paquete obligatorio para nuestro país pero como siempre todo caerá sobre el precio dudo mucho que sea bueno . ,0
194,... empezaron a abaratar costos y lo primero fue la suspención . lo del ruido es una escusa muy mala . ,0
195,No te acabes México . Sergio ¿Que le falta para ser un premium ? ¿El precio ? Porque ,0
202,". Yo me quedo con el Honda Civic , aún no llega a Colombia como la actualización del Kia Cerato , porque Honda siempre nos trae carros excelentemente equipados , a computación con ",0
222,", seguramente buen carro pero con esos sistemas de seguridad lo pusieron por las nubes . ",0
229,Excelente reseña . ,0
232,", pero lo quiero 😍 . ",0
255,Y sus tomas de aire en la parte de atras ? Como aqui no dicen nada ? en todos lados mencionan Jetta y Forte sin tomas traseras y a este no le dicen nada ? Retrovisor manual en la version mas equipada ? USB tipo A ninguno tipo C ? ,0
284,"Palomita ahí , autodinamico , lo combinaste bien . ",0
285,", para un vehículo que pesa menos de una tonelada , 2 bolsas de aire , sin control de estabilidad , solamente gente que no este en su juicio o pend ... lo compraria , habiendo en wl el mercado mejores opciones . ",0
323,Presenta problemas de ruido dentro de cabina a bajas velocidade,1
342, es el peor de la categoría en espacio interior,1
343,no es ni sera premium,1
350," pésimo rendimiento de combustible, materiales que en un año se desgastan al grado de que el interior se ve horrible, seguridad por debajo de la competencia, el peor espacio para las plazas traseras y la cajuela en el segmento.",1
352,Ni de pedo esta cerca de ser premiun.,1
358,fuera perfecto si no pegará en los topes y baches ,1
361,Espero no llegue solo basura eléctrica china!!,1
364,Los autos están carisimos,1
371,Definitivamente un auto para ignorantes,1
373,costoso !!,1
379,Nmms eso me costó mi Forte 2019 automático.,1
382,"Wow, el coche es tan austero que hasta la calidad de audio baja dentro de la cabina.",1
383,"Falto mencionar que su carrocería sigue siendo de ""cartón""",1
397,"Me empezó a gustar hasta que pensé: por 420 mil pesos, qué tiene esto mejor que un Leon 2021? Y pues nada. Literalmente nada.",1
398,Va a competir con mi abuela de lo lenta que es.,1
412, no vale la pena el cambio,1
439,"Precisamente""caro"" es algo que no vale lo que cuesta",1
455,Esta horrible,1
459,Los Nissan casa ves se venden menos. Nadie los quiere.,1
467,Al ver esta cochinada de baja calidad,1
468,El jetta más horrible de la historia,1
475,Esta Feo. Ya muy pasado de moda para señores,1
478,Esa basura austera cuesta 309,1
484,ya la están cagando en mazda,1
494,Que pésimo auto,1
495,. No es un auto para diario,1
501, Solamente la gente con dinero se daria lujo en comprar pendejadas ,1
503,Ufff demasiado cara para lo que es,1
507,Nissan = autos MUY malos con CVT por mucha tecnologia en el motor y diseño que les quieran dar JAMÁS compraria un nissan ??,1
509,. De todo nissan solo valen la Pena,1
517,para nada conviene esté auto.,1
525,La suspensión trasera la cagaron,1
528,Ya sabemos como será de mediocre y feo el auto con solo ver el emblema de la marca jajajaajjajaja.,1
529, Nissan tiene autos excelentes pero también tiene de lo peor,1
532,"Mejor le pongo 10,000 pesos más y me compro la CR-V EX",1
545,"De seguro más caro, para los presumidos!!!!",1
550,con mas de 500000 es un robo,1
553,"Mazda totalmente Premium solo, falta que lo de más caro, para que creamos que es Premium. No te acabes México",1
556, Este auto me recuerda a nissan sentra :( mas bien puro humo,1
558,Tren motriz viejo alto consumo no cumple lo ofrecido por la marca,1
561,Es culpa de Nissan y también de la gente,1
562,"con esos rines negros se ve el austero , como si tuviera los rines de acero sin sus tapones.",1
571,Se voltea igual que cucaracha con raid ? y. No vengan con que se corrigió si la que se andaba volcando tenía esp esta ni esp tiene ??,1
604,"Jajajajajaja ""Kia te da más por tu dinero"" ??? Solo los endulzaron y ahora si sacó el cobre esa marca culera.",1
612, muchos premium lo único que tienen del calificativo es el elevado precio por un equipo pobre!,1
621,Feos los 2 en cuanto a diseño,1
652,El cambio más evidente es que anda en medio millón de pesos.,1
653,"Le quitaron lo deportivo, lo llamativo… ahora parece un Jetta :(",1
660, Parece jetta con nombre de Civic,1
664, Espantoso! ,1
670, Lo del easter egg se me hizo superfluo y las partes del tablero con diseño de panal se ven horrible.,1
671,"No está caro lo que le sigue,. Es un honda Accord....",1
685,"ESE CITY ESTABA MUERTO, NOMAS NO LE HAN AVISADO ",1
698,"No pues, mediocre es la palabra se quedó algo lejos de la competencia ",1
705,"Se ve super malisima la propuesta, antes el logo RS era alusión a deportivismo, esto es una burla!!! Te venden un muy mal producto",1
717,"Cuando lo anunciaban pensé que era el auto ideal para cambiar mi Sonic RS pero viendo la porquería que es, me sigo quedando con mi Sonic.",1
741,Se ve viejo,1
746,La cruza de un versa y un gol.,1
753,Fabricada en Brasil,1
775,"Está bien feo, mejor que quedo con mi Civic 2019):",1
784,Por el precio me quedo con un Mazda 3,1
790,Mismo precio que el gli tan bien pendejos los de Honda,1
793,Están pero si operados del cerebro las marcas con esos precios.,1
795,"Que feo diseño., Es un Frankie de Accord y Jetta",1
800, Carísimo,1
807,Mal x Renault x limitar la seguridad,1
810,Primera camioneta que tiene para poner el yakult??? la quiero,1
811,Woow…compartimentó para meter chamacos jaja y lo que buscaba….poder tener un compartimento para mi yakult,1
836,Desperdicio de dinero,1
843, Que coche más aburrido.,1
851,La misma cazuela vieja culera fea y sobrevalorada de siempre,1
852, *VOLKSWAGEN Y SUS ESTAFAS!*,1
853,"Aunque la RAM se vista de seda, Fiat se queda...",1
876, Muy rovusta esta camioneta,1
881,"demasiado caro, 300 mil pesos en la version tope menos ",1
889,Aparte de feo caro.,1
891,Muy caro!!,1
896, Jajajajajaja 580 por un ? ierda civic? Jajajajajja que bueno hay cada endejo q se lo gasta pudiendo comprar algo mejor un león ? que es mil veces mas carro ?,1
898,"para ser nuevo prefiero el CIVIC Viejo. Muy caro para lo que es, me quedo con mi Forte GT.",1
904, estaba mejor el modelo anterior....,1
911,"odio el diseño nuevo, el anterior se veía mucho mejor",1
919,Carísimo! Honda Mexico sigue desfasada en sus precios y sus productos ya no valen lo que son?,1
928," cuál es la función del sonar?, se convierte en submarino cuando se inunda la ciudad ???",1
929, Por ese precio prefiero comprar un Corolla hybrid o una RAV4 hybrid,1
